----------------------------------------------------- 修改了损失函数和训练参数 -------------------------------------------------------------------
----------------------------------------------------- MLP + 2头 + 20% ---------------------------------------------------------------------------
Experiment 1 ---------- delete 20% 
Search Stage:
Epoch 00330 | Loss: 0.475 | train acc: 0.864 | val acc: 0.906 (best 0.000) | test acc: 0.895 (best 0.000) | Time(s) 0.1702
Epoch 00335 | Loss: 0.471 | train acc: 0.864 | val acc: 0.906 (best 0.000) | test acc: 0.897 (best 0.000) | Time(s) 0.1702
Epoch 00340 | Loss: 0.468 | train acc: 0.864 | val acc: 0.906 (best 0.000) | test acc: 0.895 (best 0.000) | Time(s) 0.1702
Epoch 00345 | Loss: 0.463 | train acc: 0.864 | val acc: 0.904 (best 0.000) | test acc: 0.895 (best 0.000) | Time(s) 0.1702
Epoch 00350 | Loss: 0.459 | train acc: 0.871 | val acc: 0.906 (best 0.000) | test acc: 0.897 (best 0.000) | Time(s) 0.1701
Epoch 00355 | Loss: 0.456 | train acc: 0.879 | val acc: 0.908 (best 0.000) | test acc: 0.897 (best 0.000) | Time(s) 0.1701
Epoch 00360 | Loss: 0.453 | train acc: 0.871 | val acc: 0.908 (best 0.000) | test acc: 0.897 (best 0.000) | Time(s) 0.1701
Epoch 00365 | Loss: 0.451 | train acc: 0.871 | val acc: 0.908 (best 0.000) | test acc: 0.896 (best 0.000) | Time(s) 0.1700
Epoch 00370 | Loss: 0.447 | train acc: 0.871 | val acc: 0.910 (best 0.000) | test acc: 0.897 (best 0.000) | Time(s) 0.1700
Epoch 00375 | Loss: 0.443 | train acc: 0.879 | val acc: 0.910 (best 0.000) | test acc: 0.898 (best 0.000) | Time(s) 0.1700
Epoch 00380 | Loss: 0.439 | train acc: 0.886 | val acc: 0.910 (best 0.000) | test acc: 0.900 (best 0.000) | Time(s) 0.1700
Epoch 00385 | Loss: 0.437 | train acc: 0.893 | val acc: 0.914 (best 0.000) | test acc: 0.901 (best 0.000) | Time(s) 0.1700
Epoch 00390 | Loss: 0.434 | train acc: 0.893 | val acc: 0.914 (best 0.000) | test acc: 0.901 (best 0.000) | Time(s) 0.1700
Epoch 00395 | Loss: 0.433 | train acc: 0.886 | val acc: 0.914 (best 0.000) | test acc: 0.903 (best 0.000) | Time(s) 0.1699
GAT Stage:
Epoch 00000 | Loss: 1.946 | train acc: 0.086 | val acc: 0.080 (best 0.000) | test acc: 0.098 (best 0.000) | Time(s) 0.1277
Epoch 00005 | Loss: 1.931 | train acc: 0.971 | val acc: 0.740 (best 0.000) | test acc: 0.728 (best 0.000) | Time(s) 0.1277
Epoch 00010 | Loss: 1.911 | train acc: 0.979 | val acc: 0.760 (best 0.000) | test acc: 0.751 (best 0.000) | Time(s) 0.1273
Epoch 00015 | Loss: 1.887 | train acc: 0.957 | val acc: 0.750 (best 0.000) | test acc: 0.758 (best 0.000) | Time(s) 0.1272
Epoch 00020 | Loss: 1.857 | train acc: 0.957 | val acc: 0.754 (best 0.000) | test acc: 0.759 (best 0.000) | Time(s) 0.1273
Epoch 00025 | Loss: 1.821 | train acc: 0.950 | val acc: 0.754 (best 0.000) | test acc: 0.762 (best 0.000) | Time(s) 0.1273
Epoch 00030 | Loss: 1.778 | train acc: 0.950 | val acc: 0.756 (best 0.000) | test acc: 0.766 (best 0.000) | Time(s) 0.1291
